Date,AAPL,MSFT,GOOG,GOOGL,AMZN,NVDA,META,TSLA,BRK-B,LLY
2023-05-26,173.49404907226562,327.79296875,124.68883514404297,123.86713409423828,120.11000061035156,38.91801834106445,260.6103210449219,193.1699981689453,320.6000061035156,418.84039306640625
2023-05-30,175.3434295654297,326.138671875,123.90349578857422,122.93272399902344,121.66000366210938,40.082183837890625,261.087646484375,201.16000366210938,322.19000244140625,420.26666259765625
2023-05-31,175.29396057128906,323.3618469238281,122.64100646972656,122.13750457763672,120.58000183105469,37.80681610107422,263.2756652832031,203.92999267578125,321.0799865722656,422.4504699707031
2023-06-01,178.10263061523438,327.4877014160156,123.63508605957031,122.98242950439453,122.7699966430664,39.74143600463867,271.1225891113281,207.52000427246094,323.1199951171875,429.36572265625
2023-06-02,178.95315551757812,330.2645263671875,124.4900131225586,123.92676544189453,124.25,39.298744201660156,271.1225891113281,213.97000122070312,329.4800109863281,435.1103820800781
2023-06-05,177.59825134277344,330.7962646484375,125.8817367553711,125.2587890625,125.30000305175781,39.14286422729492,269.9092712402344,217.61000061035156,328.5799865722656,437.0089111328125
2023-06-06,177.2323455810547,328.57086181640625,127.15418243408203,126.55103302001953,126.61000061035156,38.6262321472168,269.6407165527344,221.30999755859375,333.4100036621094,435.8383483886719
2023-06-07,175.85772705078125,318.4285583496094,122.21354675292969,121.76970672607422,121.2300033569336,37.45194625854492,262.1617431640625,224.57000732421875,335.4200134277344,429.2476806640625
2023-06-08,178.57733154296875,320.2798156738281,121.94514465332031,121.411865234375,124.25,38.4863166809082,263.13641357421875,234.86000061035156,335.95001220703125,438.3860778808594
2023-06-09,178.96302795410156,321.7863464355469,122.14395904541016,121.5013198852539,123.43000030517578,38.746158599853516,263.50439453125,244.39999389648438,335.2900085449219,438.75982666015625
2023-06-12,181.7617645263672,326.7688903808594,123.6152114868164,122.90290832519531,126.56999969482422,39.45771408081055,269.57110595703125,249.8300018310547,333.6000061035156,438.0417785644531
